iter	Passed	Remaining
708	21833	132138
709	21871	132152
710	21904	132138
711	21938	132125
712	21970	132098
713	22001	132072
714	22036	132063
715	22070	132055
716	22104	132043
717	22138	132030
718	22170	132006
719	22202	131982
720	22237	131972
721	22270	131956
722	22302	131930
723	22333	131902
724	22364	131875
725	22394	131836
726	22424	131800
727	22454	131765
728	22488	131753
729	22520	131730
730	22556	131725
731	22589	131707
732	22624	131700
733	22657	131684
